Zeile;Time;Concentration;Mean 10s;TimeMean
374;19.08.2019 12:35;6.2284;506.141;19.08.2019 13:35:47
375;19.08.2019 12:35;6.2284;475.937;19.08.2019 13:35:57
376;19.08.2019 12:35;9.3426;473.29;19.08.2019 13:36:07
377;19.08.2019 12:35;5.1903;483.012;19.08.2019 13:36:17
378;19.08.2019 12:35;6.2392;479.548;19.08.2019 13:36:27
379;19.08.2019 12:35;7.279;471.474;19.08.2019 13:36:37
380;19.08.2019 12:35;9.3588;472.628;19.08.2019 13:36:47
381;19.08.2019 12:35;7.279;474.529;19.08.2019 13:36:57
382;19.08.2019 12:35;6.2392;480.413;19.08.2019 13:37:07
383;19.08.2019 12:35;12.478;476.623;19.08.2019 13:37:17
384;19.08.2019 12:35;6.2392;488.554;19.08.2019 13:37:27
385;19.08.2019 12:35;12.478;478.515;19.08.2019 13:37:37
386;19.08.2019 12:35;9.3588;495.137;19.08.2019 13:37:47
387;19.08.2019 12:35;10.381;489.405;19.08.2019 13:37:57
388;19.08.2019 12:35;7.279;493.057;19.08.2019 13:38:07
389;19.08.2019 12:35;8.3045;500.928;19.08.2019 13:38:17
390;19.08.2019 12:35;12.457;500.853;19.08.2019 13:38:27
391;19.08.2019 12:35;6.2284;491.879;19.08.2019 13:38:37
392;19.08.2019 12:35;8.3045;501.011;19.08.2019 13:38:47
393;19.08.2019 12:36;9.3426;501.596;19.08.2019 13:38:57
394;19.08.2019 12:36;12.435;495.654;19.08.2019 13:39:07
